market_hash_name,currency,current_min_price,suggested_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
StatTrak™ P2000 | Fire Elemental (Battle-Scarred),EUR,,49.48,,,,,0,,,,,0,,,,,0,40.7,42.08,41.39,41.39,2
Autograph Capsule | Natus Vincere | Cologne 2016,EUR,8.3,9.18,,,,,0,,,,,0,7.95,7.95,7.95,7.95,1,6.3,7.95,7.13,7.12,2
Sticker | myXMG | DreamHack 2014,EUR,43,40.36,,,,,0,,,,,0,,,,,0,38.39,40,39.2,39.2,2
Sticker | Ninjas in Pyjamas (Holo) | DreamHack 2014,EUR,135,130.12,,,,,0,,,,,0,86.95,133,112.73,116.16,5,86.95,133,112.37,116.16,7
Sticker | cool4st (Holo) | Austin 2025,EUR,2,1.49,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | apEX | Cluj-Napoca 2015,EUR,3.87,3.82,,,,,0,3.99,3.99,3.99,3.99,1,3.31,3.99,3.49,3.33,4,2.47,4.49,3.6,3.64,16
Nova | Hyper Beast (Field-Tested),EUR,18.82,21.19,15.09,15.74,15.42,15.42,2,15.09,20.42,16.42,15.67,5,14.34,20.98,17.31,17.12,50,10.7,23,16.51,16.11,145
StatTrak™ SSG 08 | Necropos (Battle-Scarred),EUR,0.49,0.67,,,,,0,0.49,0.49,0.49,0.49,2,0.49,0.65,0.54,0.49,3,0.46,1.86,0.67,0.6,20
CZ75-Auto | Tread Plate (Factory New),EUR,5.29,6.53,,,,,0,6.51,6.51,6.51,6.51,1,3.98,6.51,5.2,5.33,11,3.98,62.9,7.67,5.72,25
★ StatTrak™ Karambit | Black Laminate (Battle-Scarred),EUR,,1207.04,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | aizy (Foil) | London 2018,EUR,,6.32,,,,,0,,,,,0,,,,,0,9.99,9.99,9.99,9.99,4
Souvenir MP7 | Orange Peel (Field-Tested),EUR,0.91,0.72,,,,,0,,,,,0,1.18,3,2.09,2.09,2,0.67,7.5,1.94,0.84,9
Sealed Graffiti | Bock Bock (Jungle Green),EUR,0.12,0.16,,,,,0,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,1,0.1,0.1,0.1,0.1,1
StatTrak™ MP5-SD | Acid Wash (Field-Tested),EUR,0.83,1.07,,,,,0,0.9,0.9,0.9,0.9,1,0.73,0.9,0.8,0.77,3,0.73,1.53,1.04,0.98,17
Sticker | TACO | Rio 2022,EUR,0.35,0.09,,,,,0,,,,,0,,,,,0,0.07,0.45,0.15,0.07,5
Sticker | Yellow Cyclawps,EUR,0.35,0.24,,,,,0,0.16,0.16,0.16,0.16,1,0.16,0.18,0.17,0.18,6,0.09,0.27,0.16,0.16,16
FAMAS | ZX Spectron (Field-Tested),EUR,1.91,2.06,1.46,2.07,1.77,1.76,2,1.41,3.6,1.98,1.96,18,1.14,3.6,1.85,1.89,85,1.14,4,2.17,2.06,349
Sealed Graffiti | Sorry (Dust Brown),EUR,0.02,0.03,,,,,0,,,,,0,,,,,0,0.02,0.03,0.02,0.02,34
★ Flip Knife | Marble Fade (Minimal Wear),EUR,580,1663.16,,,,,0,,,,,0,,,,,0,,,,,0
M4A1-S | Printstream (Factory New),EUR,664.07,767.69,635,635,635,635,1,598.17,806.4,687.84,673.38,4,511.56,806.4,604.02,589.22,21,338.96,806.4,511.07,461.17,137
★ StatTrak™ Shadow Daggers | Scorched (Battle-Scarred),EUR,,113.46,,,,,0,,,,,0,,,,,0,,,,,0
★ Nomad Knife | Forest DDPAT (Battle-Scarred),EUR,,159.69,108.57,108.57,108.57,108.57,1,108.57,124.89,116.73,116.73,2,108.57,124.89,116.01,115.28,4,108.57,164.43,127.09,124.79,9
Sticker | fame (Holo) | Rio 2022,EUR,2.49,0.94,,,,,0,,,,,0,,,,,0,,,,,0
MP9 | Airlock (Factory New),EUR,10.41,12.55,,,,,0,16.99,16.99,16.99,16.99,1,8,16.99,12.15,12.02,20,8,40,12.71,11.81,63
StatTrak™ Sawed-Off | The Kraken (Minimal Wear),EUR,20.35,20.79,,,,,0,,,,,0,16,16,16,16,1,12.04,25,16.32,15.98,17
★ Flip Knife | Stained (Battle-Scarred),EUR,189.99,198.01,146.8,146.8,146.8,146.8,1,146.8,146.8,146.8,146.8,1,146.8,170.64,157.55,155.21,3,146.8,201.38,170.74,165.25,7
Sticker | nafany | Rio 2022,EUR,0.45,0.09,,,,,0,0.06,0.06,0.06,0.06,1,0.06,0.07,0.07,0.07,4,0.06,0.45,0.18,0.07,9
Sealed Graffiti | Smooch (Brick Red),EUR,0.15,0.2,,,,,0,,,,,0,0.09,0.09,0.09,0.09,1,0.09,0.13,0.11,0.12,3
Souvenir Tec-9 | Army Mesh (Battle-Scarred),EUR,29.99,14.99,,,,,0,,,,,0,,,,,0,14.38,14.38,14.38,14.38,1
Sealed Graffiti | OMG (Jungle Green),EUR,0.2,0.28,,,,,0,,,,,0,,,,,0,0.18,0.49,0.26,0.2,6
StatTrak™ SSG 08 | Parallax (Field-Tested),EUR,5.86,7.35,,,,,0,5.84,7.18,6.36,6.07,3,5.7,7.24,6.25,6.07,9,3.62,7.24,4.78,4.65,51
SG 553 | Bulldozer (Field-Tested),EUR,,1222.25,,,,,0,,,,,0,,,,,0,139.04,162.81,150.72,150.31,3
Sticker | coldzera (Foil) | Katowice 2019,EUR,26.36,2.59,,,,,0,,,,,0,,,,,0,2.99,3.99,3.49,3.49,2
★ StatTrak™ Skeleton Knife | Night Stripe (Well-Worn),EUR,282.35,301.95,,,,,0,,,,,0,214.23,273.56,243.9,243.9,2,214.23,322.03,269.94,273.56,3
Sawed-Off | Bamboo Shadow (Factory New),EUR,5.48,5.96,,,,,0,4.23,11.99,6.42,5.54,6,4.23,13.45,6.12,5.33,21,3.58,13.45,5.57,4.92,42
★ StatTrak™ Bayonet | Doppler (Minimal Wear),EUR,,891.21,,,,,0,,,,,0,461.37,461.37,461.37,461.37,1,461.37,586.25,515.64,499.29,3
★ StatTrak™ Navaja Knife | Night Stripe (Minimal Wear),EUR,,114.53,,,,,0,,,,,0,,,,,0,111.57,111.57,111.57,111.57,1
Sealed Graffiti | GLHF (Cash Green),EUR,0.02,0.03,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,3,0.02,0.02,0.02,0.02,18
Souvenir AUG | Spalted Wood (Factory New),EUR,0.11,0.08,,,,,0,0.05,0.26,0.1,0.07,8,0.03,2.2,0.09,0.06,73,0.03,2.2,0.11,0.05,112
Sealed Graffiti | SK Gaming | Krakow 2017,EUR,0.99,0.92,,,,,0,0.59,0.99,0.81,0.86,3,0.59,0.99,0.8,0.81,5,0.59,1.13,0.84,0.81,9
P90 | Mustard Gas (Factory New),EUR,1.87,0.73,0.39,0.39,0.39,0.39,1,0.39,0.7,0.55,0.54,4,0.37,2.97,0.86,0.65,21,0.37,5,1.38,0.78,33
AWP | Chromatic Aberration (Minimal Wear),EUR,8.15,9.57,7.12,12.47,8.73,8.93,20,7.12,12.47,8.83,8.9,120,6.65,17.91,9.05,9.05,418,6.07,51.79,9.93,9.73,1211
Sealed Graffiti | Grimace (Desert Amber),EUR,0.17,0.2,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Vega Squadron (Foil) | London 2018,EUR,,15.46,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | tiziaN (Glitter) | Antwerp 2022,EUR,1.62,0.04,0.03,0.03,0.03,0.03,1,0.03,0.2,0.15,0.19,5,0.03,0.2,0.15,0.17,6,0.02,0.2,0.11,0.15,9
Souvenir MAC-10 | Palm (Minimal Wear),EUR,1.85,2.48,,,,,0,3.15,3.9,3.53,3.52,2,3.15,3.9,3.53,3.52,2,1.93,3.9,2.99,3.15,3
Autograph Capsule | Fnatic | Atlanta 2017,EUR,5.9,5.56,,,,,0,,,,,0,4.02,4.02,4.02,4.02,1,4.02,5.36,4.69,4.69,2
Negev | Bratatat (Field-Tested),EUR,1.3,1.63,,,,,0,1.2,1.2,1.2,1.2,1,1.07,2.08,1.63,1.73,5,1.07,2.09,1.66,1.58,16
Sticker | r3salt (Holo) | Paris 2023,EUR,0.47,0.25,0.29,0.29,0.29,0.29,1,0.19,0.29,0.24,0.24,2,0.19,0.35,0.26,0.26,4,0.15,0.68,0.44,0.35,9
Sealed Graffiti | Denied (Monarch Blue),EUR,0.8,0.26,,,,,0,,,,,0,0.11,0.12,0.12,0.12,2,0.06,0.12,0.09,0.09,4
Sticker | nicoodoz (Holo) | Paris 2023,EUR,0.59,0.25,,,,,0,0.18,0.56,0.35,0.34,4,0.18,0.56,0.35,0.34,4,0.14,0.56,0.3,0.24,12
Sticker | G2 Esports (Foil) | Stockholm 2021,EUR,1.81,1.92,2.78,2.78,2.78,2.78,1,1.89,2.79,2.24,2.04,6,1.38,2.79,1.84,1.73,19,1.25,2.79,1.63,1.66,70
Sticker | bondik | Atlanta 2017,EUR,50.68,7.81,,,,,0,,,,,0,,,,,0,3.86,9.49,7.13,7.49,5
Atlanta 2017 Mirage Souvenir Package,EUR,,26.62,,,,,0,,,,,0,20.08,36.11,28.1,28.1,2,20.08,36.11,28.1,28.1,2
Sealed Graffiti | Recoil MP7 (War Pig Pink),EUR,2.29,1.12,,,,,0,,,,,0,,,,,0,1,1,1,1,8
★ StatTrak™ Bowie Knife | Slaughter (Factory New),EUR,385,417.35,,,,,0,,,,,0,309.61,309.61,309.61,309.61,1,309.61,354.41,332.01,332.01,2
Sticker | rigoN (Gold) | Antwerp 2022,EUR,18.22,1.75,,,,,0,,,,,0,,,,,0,,,,,0
P2000 | Coral Halftone (Battle-Scarred),EUR,0.39,0.1,,,,,0,,,,,0,0.07,0.07,0.07,0.07,2,0.06,0.32,0.12,0.08,24
Nova | Walnut (Minimal Wear),EUR,2.81,2.95,,,,,0,2.34,2.34,2.34,2.34,1,2.13,2.54,2.39,2.44,5,2.13,3.31,2.58,2.49,10
P90 | Tiger Pit (Battle-Scarred),EUR,,11.33,,,,,0,,,,,0,,,,,0,,,,,0
Sealed Graffiti | Little Crown (War Pig Pink),EUR,2.58,0.23,,,,,0,,,,,0,0.16,0.16,0.16,0.16,1,0.1,0.16,0.13,0.13,7
Chroma 3 Case Key,EUR,11.99,12.2,,,,,0,10.25,11.99,11.56,11.99,14,9.29,11.99,10.97,10.84,26,8.24,14.99,11.73,11.53,56
Sticker | Chinggis Warriors (Foil) | Austin 2025,EUR,,0.76,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | LUCAS1 (Foil) | Boston 2018,EUR,,24.23,,,,,0,,,,,0,,,,,0,,,,,0
Five-SeveN | Orange Peel (Minimal Wear),EUR,0.12,0.17,0.13,0.13,0.13,0.13,1,0.1,0.15,0.13,0.12,8,0.05,0.16,0.11,0.11,61,0.05,1.1,0.09,0.08,184
Sticker | k1to | Rio 2022,EUR,0.02,0.03,,,,,0,,,,,0,0.15,0.15,0.15,0.15,1,0.02,0.15,0.03,0.03,16
Sticker | JT (Glitter) | Paris 2023,EUR,0.14,0.03,,,,,0,0.02,0.15,0.09,0.08,2,0.02,0.15,0.05,0.02,6,0.02,0.15,0.03,0.02,22
UMP-45 | Indigo (Minimal Wear),EUR,3.53,3.86,3.04,3.04,3.04,3.04,1,2.86,3.72,3.13,2.96,4,2.86,7,3.48,3.01,15,2.69,7.9,3.75,3.34,34
Autograph Capsule | SK Gaming | Cologne 2016,EUR,6.49,7.23,,,,,0,6.48,6.48,6.48,6.48,1,6.48,7,6.72,6.72,6,6.48,7,6.74,6.72,7
Sticker | C4LLM3SU3 | Austin 2025,EUR,0.27,0.41,,,,,0,,,,,0,,,,,0,,,,,0
★ Falchion Knife | Fade (Factory New),EUR,357.6,403.69,314.62,369.72,347.75,358.92,3,300.2,410.06,359.05,360,15,300.2,416.71,364.71,363.66,42,292.5,687.75,379.32,372.13,111
StatTrak™ Nova | Rising Sun (Field-Tested),EUR,0.8,1.07,0.83,1.16,1.03,1.09,3,0.7,1.16,0.96,0.93,33,0.57,1.8,0.92,0.84,158,0.57,7,1.09,0.9,270
StatTrak™ P250 | Inferno (Battle-Scarred),EUR,0.99,1.25,,,,,0,,,,,0,0.94,1.54,1.19,1.08,3,0.75,1.54,1.11,1.11,10
Sticker | Stan (Holo),EUR,2.52,2.02,,,,,0,2.7,2.7,2.7,2.7,1,1.71,2.75,2.32,2.58,8,1.58,3.59,2.45,2.37,26
M4A1-S | Printstream (Field-Tested),EUR,221.47,288.33,206.37,259.3,232,232.64,7,205.03,286.84,236.68,238.54,49,162.5,305,236.1,234.48,234,162.5,305,222.74,221.05,746
UMP-45 | Fallout Warning (Field-Tested),EUR,13.78,8.53,,,,,0,,,,,0,7.16,7.16,7.16,7.16,1,7.15,12.01,8.77,7.25,5
Sticker | Golden | Boston 2018,EUR,6.49,1.19,,,,,0,,,,,0,0.83,0.83,0.83,0.83,1,0.83,0.83,0.83,0.83,1
★ StatTrak™ Talon Knife | Ultraviolet (Field-Tested),EUR,,493.55,,,,,0,,,,,0,405.05,478.64,449.88,450.72,5,365.08,485.67,430.05,431.38,16
Sticker | Perfecto (Gold) | Antwerp 2022,EUR,3.89,2.64,,,,,0,,,,,0,,,,,0,,,,,0
Souvenir MP9 | Orange Peel (Minimal Wear),EUR,54.26,39.12,,,,,0,,,,,0,,,,,0,,,,,0
Souvenir UMP-45 | Mechanism (Battle-Scarred),EUR,1.33,1.07,,,,,0,,,,,0,1.2,1.2,1.2,1.2,1,0.8,1.2,1.03,1.04,6
Sticker | iM (Holo) | Rio 2022,EUR,1.66,0.87,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Jimpphat (Holo) | Shanghai 2024,EUR,0.64,0.25,,,,,0,,,,,0,0.11,0.79,0.3,0.14,4,0.09,0.79,0.21,0.12,33
Sticker | Vitality (Holo) | Shanghai 2024,EUR,1.35,1.34,,,,,0,0.57,1.5,0.84,0.72,5,0.36,1.5,0.78,0.73,39,0.32,1.5,0.69,0.65,132
Tec-9 | Red Quartz (Minimal Wear),EUR,0.11,0.14,0.12,0.12,0.12,0.12,1,0.08,0.31,0.15,0.12,56,0.08,0.47,0.12,0.11,254,0.05,0.98,0.12,0.1,660
Autograph Capsule | mousesports | Cologne 2016,EUR,20,16.82,,,,,0,,,,,0,,,,,0,,,,,0
ESL One Katowice 2015 Cobblestone Souvenir Package,EUR,1447.09,1816.36,,,,,0,,,,,0,,,,,0,,,,,0
MP5-SD | Autumn Twilly (Field-Tested),EUR,5.7,5.13,,,,,0,,,,,0,4.11,5.72,4.73,4.98,7,3.33,5.9,4.42,4.37,46
CZ75-Auto | Eco (Minimal Wear),EUR,1.65,1.72,,,,,0,1.27,1.69,1.48,1.46,6,1.12,2.26,1.52,1.52,34,0.75,2.52,1.57,1.53,138
★ Driver Gloves | Rezan the Red (Factory New),EUR,,1000.34,,,,,0,,,,,0,,,,,0,650,699,674.5,674.5,2
G3SG1 | Stinger (Minimal Wear),EUR,0.7,0.87,0.65,0.65,0.65,0.65,2,0.64,1.84,0.96,0.86,8,0.6,1.84,0.82,0.71,19,0.51,1.84,0.76,0.66,54
Sticker | iBUYPOWER | Cologne 2014,EUR,90,89.27,74.55,92,83.28,83.28,2,74.55,93.16,86.02,87.99,6,72.06,93.16,83.51,83.99,13,48.41,93.16,73.13,71.34,44
StatTrak™ M249 | Downtown (Well-Worn),EUR,0.69,0.85,0.63,0.63,0.63,0.63,1,0.63,0.63,0.63,0.63,1,0.59,0.63,0.61,0.6,3,0.59,0.72,0.65,0.64,11
Sticker | sdy (Holo) | Rio 2022,EUR,6.02,0.86,0.98,0.98,0.98,0.98,1,0.98,0.98,0.98,0.98,1,0.63,0.98,0.81,0.8,2,0.63,0.98,0.81,0.8,2
Souvenir UMP-45 | Mudder (Battle-Scarred),EUR,0.02,0.04,,,,,0,,,,,0,0.02,0.22,0.04,0.02,12,0.02,0.91,0.14,0.03,25
★ StatTrak™ Stiletto Knife | Boreal Forest (Factory New),EUR,,226.46,,,,,0,,,,,0,,,,,0,,,,,0
Sealed Graffiti | Broken Heart (Tiger Orange),EUR,0.48,0.53,,,,,0,,,,,0,,,,,0,0.26,0.49,0.35,0.32,5
AK-47 | Redline (Field-Tested),EUR,36.38,42.43,30.97,74.9,42.69,42.02,15,29.46,1001,61.54,38.33,104,25.6,1001,50.83,36.55,557,18.92,1001,47.09,36.29,1753
Sticker | Liazz | Katowice 2019,EUR,1.18,0.4,,,,,0,,,,,0,0.32,0.32,0.32,0.32,1,0.32,2.49,1.12,0.54,3
Sticker | cool4st | Austin 2025,EUR,,0.04,,,,,0,,,,,0,,,,,0,,,,,0
★ StatTrak™ Nomad Knife | Ultraviolet (Well-Worn),EUR,,267.99,,,,,0,,,,,0,,,,,0,209.99,209.99,209.99,209.99,1
P250 | Undertow (Field-Tested),EUR,29.6,33.97,,,,,0,,,,,0,24.77,24.77,24.77,24.77,1,24.03,30.11,25.8,24.52,4
Sticker | Hello PP-Bizon (Gold),EUR,2.7,1.92,,,,,0,,,,,0,1.54,1.95,1.68,1.54,3,1.29,1.95,1.61,1.59,9
PP-Bizon | Blue Streak (Field-Tested),EUR,6.72,2.41,1.76,1.76,1.76,1.76,1,1.76,3.37,2.64,2.79,3,1.63,3.37,2.42,2.43,14,1.57,20.65,2.82,2,34
AK-47 | Frontside Misty (Minimal Wear),EUR,25.79,33.33,24.56,29.6,26.88,26.3,7,23.81,41.38,27.18,26.63,54,20.69,136.08,26.87,26.26,261,17.41,136.08,27.13,26.64,927
Sticker | crush (Gold) | Katowice 2019,EUR,,34.13,,,,,0,,,,,0,,,,,0,,,,,0
"Music Kit | Mord Fustang, Diamonds",EUR,2.29,2.62,2.53,2.53,2.53,2.53,1,1.89,3.3,2.49,2.53,5,1.89,3.41,2.48,2.49,29,1.47,3.41,2.48,2.47,106
Souvenir Five-SeveN | Withered Vine (Factory New),EUR,0.24,0.28,0.19,0.92,0.39,0.22,4,0.19,1.44,0.52,0.25,17,0.19,2.88,0.47,0.26,38,0.18,2.88,0.44,0.25,143
★ Skeleton Knife | Safari Mesh (Well-Worn),EUR,200.76,209.44,,,,,0,,,,,0,,,,,0,170.96,170.96,170.96,170.96,1
Sticker | chopper (Gold) | Shanghai 2024,EUR,1.85,1.7,,,,,0,,,,,0,1.06,2.59,1.63,1.25,3,0.99,2.59,1.45,1.27,12
Sticker | Little Mischief,EUR,0.16,0.17,0.12,0.12,0.12,0.12,1,0.12,0.12,0.12,0.12,1,0.12,0.29,0.21,0.18,24,0.12,0.5,0.22,0.18,70
Sticker | syrsoN | Rio 2022,EUR,0.39,0.1,,,,,0,0.08,0.08,0.08,0.08,3,0.07,0.08,0.08,0.08,6,0.04,0.35,0.1,0.08,16
Souvenir FAMAS | Teardown (Battle-Scarred),EUR,,1205.05,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | stavn (Glitter) | Antwerp 2022,EUR,0.35,0.04,0.06,0.06,0.06,0.06,1,0.05,0.06,0.06,0.06,2,0.02,0.2,0.08,0.06,4,0.02,3.92,0.47,0.06,10
P250 | Visions (Factory New),EUR,9,11.72,9.09,9.74,9.47,9.59,3,8.95,11.23,9.69,9.59,15,8,14.74,10.63,10.32,70,7,34.99,10.36,9.98,316
Sticker | Vitality (Gold) | Austin 2025,EUR,,181.21,180.33,180.33,180.33,180.33,1,180.33,180.33,180.33,180.33,1,180.33,180.33,180.33,180.33,1,180.33,180.33,180.33,180.33,1
Sealed Graffiti | Lambda (Dust Brown),EUR,0.02,0.03,,,,,0,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,6,0.02,0.02,0.02,0.02,28
StatTrak™ AK-47 | Redline (Field-Tested),EUR,77.99,99.99,70,135.99,95.06,95.99,5,70,159.99,93.78,79.94,32,63.65,2780.38,132.47,79.63,129,61.08,2780.38,108.43,79.99,365
P250 | Apep's Curse (Battle-Scarred),EUR,19.26,20.41,15.16,15.16,15.16,15.16,1,15.16,16.69,15.93,15.92,2,15.16,23.48,17.82,16.31,4,15.16,30.39,19.81,17.69,15
Sawed-Off | Wasteland Princess (Factory New),EUR,8.36,8.65,,,,,0,6.31,9.69,8.34,8.52,5,6.31,21.29,8.78,8.04,17,6.04,24.97,10.7,8.4,52
Sealed Graffiti | Chef Kiss (Tiger Orange),EUR,0.21,0.23,,,,,0,,,,,0,0.18,0.2,0.19,0.19,2,0.16,0.2,0.18,0.18,3
SG 553 | Ol' Rusty (Factory New),EUR,0.18,0.25,0.19,0.2,0.2,0.2,2,0.17,0.27,0.19,0.18,16,0.17,3.57,0.27,0.2,75,0.14,3.57,0.35,0.23,406
Souvenir Glock-18 | Groundwater (Field-Tested),EUR,5.59,4.78,,,,,0,3.94,9,5.53,4.49,5,3.88,9,5.05,4.36,8,3.41,10.99,6.08,5.29,25
MP9 | Green Plaid (Battle-Scarred),EUR,,3.88,,,,,0,,,,,0,,,,,0,4.68,4.68,4.68,4.68,1
Souvenir SSG 08 | Jungle Dashed (Minimal Wear),EUR,0.04,0.05,0.03,1.33,0.68,0.68,2,0.03,1.33,0.23,0.06,7,0.03,1.33,0.1,0.06,27,0.03,3.33,0.1,0.07,125
Sticker | Complexity Gaming (Gold) | Paris 2023,EUR,1.18,1.28,,,,,0,0.92,1.22,1.02,0.92,3,0.84,1.98,1.51,1.84,21,0.6,2.24,1.53,1.85,79
Falchion Case Key,EUR,11.75,11.29,,,,,0,11.77,11.85,11.81,11.81,2,8.9,11.91,10.61,10.36,32,7.84,11.91,9.58,9.16,67
Souvenir PP-Bizon | Chemical Green (Factory New),EUR,35,27.4,,,,,0,,,,,0,,,,,0,18.16,55.12,35.12,39.99,9
Souvenir AUG | Condemned (Well-Worn),EUR,,144.01,,,,,0,,,,,0,,,,,0,,,,,0
★ Gut Knife | Night (Battle-Scarred),EUR,,126.28,,,,,0,,,,,0,,,,,0,90.86,90.86,90.86,90.86,1
Patch | FURIA | Stockholm 2021,EUR,1.8,1.76,1.69,1.69,1.69,1.69,1,1.69,1.7,1.7,1.7,2,1.19,1.7,1.59,1.7,12,1.19,3.32,1.73,1.7,23
StatTrak™ AK-47 | Rat Rod (Factory New),EUR,35.22,47.11,,,,,0,41.39,41.39,41.39,41.39,1,16.43,41.39,35.11,36.16,9,16.43,120.81,41.29,38,27
MP5-SD | Nitro (Factory New),EUR,7.5,7.75,6.46,6.46,6.46,6.46,1,6.46,6.46,6.46,6.46,1,6.11,8.41,6.93,6.73,6,4.22,20.98,7.34,6.46,17
USP-S | Business Class (Field-Tested),EUR,38.25,40.71,,,,,0,,,,,0,30.87,30.87,30.87,30.87,1,26.14,35,30.7,30.42,8
StatTrak™ MAC-10 | Ensnared (Battle-Scarred),EUR,0.09,0.13,,,,,0,0.1,0.1,0.1,0.1,1,0.1,0.19,0.14,0.14,22,0.09,0.19,0.13,0.13,73
Sticker | Terror Rice,EUR,0.22,0.3,,,,,0,,,,,0,0.24,0.28,0.26,0.26,2,0.24,0.37,0.31,0.32,23
StatTrak™ MAG-7 | Insomnia (Well-Worn),EUR,0.07,0.1,,,,,0,0.06,0.09,0.08,0.07,10,0.06,0.1,0.08,0.08,38,0.06,0.13,0.09,0.09,80
★ Stiletto Knife | Urban Masked (Factory New),EUR,,385.19,,,,,0,,,,,0,,,,,0,,,,,0
Souvenir AK-47 | Steel Delta (Field-Tested),EUR,4.11,5.17,,,,,0,3.55,4.75,4.16,4.17,3,3.55,5.99,4.75,4.74,12,3.55,7.13,4.94,4.71,38
Souvenir Glock-18 | Red Tire (Field-Tested),EUR,0.29,0.4,0.31,0.31,0.31,0.31,1,0.28,0.32,0.3,0.31,3,0.28,0.47,0.34,0.32,5,0.18,0.78,0.44,0.4,34
★ Specialist Gloves | Crimson Web (Well-Worn),EUR,214.62,269.63,218.34,242.93,230.64,230.64,2,208,280,238.29,246.96,10,184.44,284.63,230.94,239.49,41,175,284.63,227.77,235.99,125
Souvenir MAG-7 | Rust Coat (Factory New),EUR,0.37,0.29,,,,,0,0.24,0.24,0.24,0.24,1,0.24,0.63,0.4,0.34,3,0.19,0.63,0.29,0.22,12
Sticker | Liazz (Glitter) | Shanghai 2024,EUR,0.14,0.05,0.03,0.03,0.03,0.03,1,0.03,0.3,0.06,0.04,13,0.03,0.3,0.05,0.04,22,0.02,0.3,0.05,0.04,52
Sticker | mzinho (Foil) | Austin 2025,EUR,,0.21,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | stavn | Paris 2023,EUR,0.02,0.03,,,,,0,,,,,0,0.02,0.03,0.03,0.02,2,0.02,0.03,0.03,0.03,11
Sticker | arT | Katowice 2019,EUR,1.99,1.37,,,,,0,,,,,0,,,,,0,0.92,0.96,0.94,0.94,4
Sticker | Liazz (Glitter) | Rio 2022,EUR,0.39,0.11,,,,,0,0.08,0.08,0.08,0.08,1,0.08,0.08,0.08,0.08,1,0.06,0.11,0.08,0.08,5
Sticker | Rickeh (Gold) | Berlin 2019,EUR,,6.84,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | s1mple | Katowice 2019,EUR,4.2,5.26,,,,,0,4.2,4.36,4.22,4.2,7,3.07,4.6,4.17,4.36,21,2.67,4.6,4.16,4.37,34
AUG | Bengal Tiger (Field-Tested),EUR,8.5,9.5,,,,,0,7.32,7.32,7.32,7.32,1,7.32,8.55,8.05,8.4,5,6.34,10.39,8.23,8.03,28
Sealed Graffiti | Banana,EUR,1.15,0.42,,,,,0,0.3,0.99,0.44,0.31,5,0.3,1.38,0.73,0.48,13,0.3,2.5,0.89,0.99,50
Sticker | Snappi (Gold) | Paris 2023,EUR,1.46,0.72,,,,,0,,,,,0,,,,,0,0.57,0.63,0.6,0.6,2
Sealed Graffiti | Tombstone (Bazooka Pink),EUR,0.02,0.04,,,,,0,,,,,0,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,2
Sticker | fer | Boston 2018,EUR,13.99,4.74,,,,,0,,,,,0,3.66,9.99,7.54,8.98,3,2.9,9.99,6.38,6.32,4
P90 | Wash me (Factory New),EUR,0.19,0.26,0.2,0.2,0.2,0.2,1,0.18,1.2,0.26,0.2,20,0.12,1.9,0.23,0.2,257,0.12,1.9,0.24,0.21,713
★ StatTrak™ Shadow Daggers | Doppler (Minimal Wear),EUR,,703.78,,,,,0,,,,,0,,,,,0,,,,,0
StatTrak™ AWP | Graphite (Minimal Wear),EUR,337.63,335.07,,,,,0,320,320,320,320,1,320,320,320,320,1,255.88,336.99,302.68,310,6
★ M9 Bayonet | Ultraviolet (Well-Worn),EUR,,692.41,,,,,0,,,,,0,575.14,600.69,587.92,587.92,2,543.01,638.7,589.39,587.92,4
Sticker | dennis (Gold) | Katowice 2019,EUR,,23.37,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Vitality (Holo) | Berlin 2019,EUR,2.8,0.57,,,,,0,0.39,0.39,0.39,0.39,1,0.39,1.73,0.87,0.59,7,0.24,1.73,0.7,0.42,10
SCAR-20 | Sand Mesh (Well-Worn),EUR,0.02,0.03,,,,,0,,,,,0,0.02,0.02,0.02,0.02,7,0.02,0.02,0.02,0.02,22
Sticker | Bullet Hell (Foil),EUR,6.7,5.41,,,,,0,,,,,0,4.75,7.29,6.3,7.2,14,4.15,8,5.84,5.35,53
P2000 | Corticera (Factory New),EUR,25.86,24.43,20.63,20.63,20.63,20.63,1,17.74,20.63,18.81,18.07,3,17.74,20.63,18.81,18.07,3,15,25,19.49,18.07,9
Galil AR | Kami (Factory New),EUR,3.6,3.86,3.36,3.36,3.36,3.36,1,2.91,3.88,3.35,3.36,7,2.87,4.48,3.4,3.36,29,2.63,9.4,3.76,3.64,90
