market_hash_name,currency,current_min_price,suggested_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
StatTrak™ M4A1-S | Flashback (Minimal Wear),EUR,5.14,5.93,6.39,6.39,6.39,6.39,1,4.37,7.17,5.78,5.8,8,3.76,7.17,5.24,5.33,36,3.76,24.37,5.64,5.45,117
UMP-45 | Crimson Foil (Field-Tested),EUR,4.13,5.05,3.97,3.97,3.97,3.97,1,3.51,4.85,4.07,3.97,39,3.38,5.13,4.09,3.97,150,2.7,9.32,4.25,4.19,574
Sealed Graffiti | Little Crown (Cash Green),EUR,0.17,0.22,,,,,0,,,,,0,0.13,0.13,0.13,0.13,1,0.13,0.13,0.13,0.13,2
Sealed Graffiti | Lambda (Cash Green),EUR,0.02,0.03,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,9,0.02,0.02,0.02,0.02,25
Souvenir Nova | Polar Mesh (Well-Worn),EUR,1.38,0.44,,,,,0,,,,,0,0.6,0.6,0.6,0.6,1,0.38,9.2,2.19,0.99,7
Sticker | rallen (Foil) | Cluj-Napoca 2015,EUR,,12.97,,,,,0,,,,,0,,,,,0,,,,,0
★ StatTrak™ Skeleton Knife,EUR,548.96,673.03,,,,,0,525,525,525,525,1,518.93,645.13,588.58,597,9,488.84,793.62,601.59,601.04,28
Sealed Graffiti | Rage Mode (Cash Green),EUR,0.02,0.03,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,15
Guardian 2 Pin,EUR,3.2,3.61,3.4,3.4,3.4,3.4,1,2.65,3.4,3.13,3.31,15,2.59,3.91,3.26,3.37,62,2.54,6.99,3.54,3.4,175
P90 | Shapewood (Field-Tested),EUR,1.76,1.91,2.13,2.13,2.13,2.13,1,1.46,2.66,1.96,1.76,7,1.46,4.4,2.14,1.94,48,1.33,4.4,2.01,1.86,130
StatTrak™ Glock-18 | Wasteland Rebel (Well-Worn),EUR,16.81,21.36,,,,,0,,,,,0,,,,,0,16,16,16,16,1
