market_hash_name,currency,current_min_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
Sealed Graffiti | X-Knives (Monarch Blue),EUR,0.02,,,,,0,,,,,0,0.02,0.02,0.02,0.02,5,0.02,0.02,0.02,0.02,17
P90 | Elite Build (Field-Tested),EUR,0.39,0.39,0.39,0.39,0.39,1,0.37,0.47,0.41,0.41,18,0.37,0.47,0.42,0.42,34,0.35,0.58,0.44,0.44,103
Sticker | Keyd Stars | Katowice 2015,EUR,35,,,,,0,,,,,0,,,,,0,30,30,30,30,2
M4A4 | Polysoup (Well-Worn),EUR,3.84,,,,,0,,,,,0,2.49,3.5,3,3,3,2.49,5.48,3.62,3.25,6
StatTrak™ M249 | Spectre (Factory New),EUR,1.39,0.97,0.97,0.97,0.97,1,0.82,0.97,0.91,0.93,3,0.7,3,1.1,1,18,0.7,3,1.11,0.95,59
Sticker | Chief (Foil),EUR,0.79,,,,,0,0.86,0.86,0.86,0.86,1,0.68,1.45,1,0.86,7,0.67,11.02,1.37,1.2,36
★ StatTrak™ Gut Knife | Blue Steel (Well-Worn),EUR,,,,,,0,,,,,0,,,,,0,103.55,155.55,124.27,119,4
Patch | Metal Silver Demon,EUR,29.73,,,,,0,25.26,28.2,27.59,27.79,10,25.26,28.87,27.42,27.39,26,25.26,33.85,29.05,27.79,44
★ Huntsman Knife | Scorched (Battle-Scarred),EUR,121.49,,,,,0,,,,,0,122.99,122.99,122.99,122.99,1,98.12,122.99,113.15,118.34,3
★ StatTrak™ Ursus Knife | Damascus Steel (Minimal Wear),EUR,,,,,,0,168.1,168.1,168.1,168.1,1,168.1,168.1,168.1,168.1,1,168.1,181.2,174.65,174.65,2
★ Ursus Knife | Boreal Forest (Battle-Scarred),EUR,120.25,,,,,0,106.84,106.84,106.84,106.84,1,106.52,106.84,106.68,106.68,2,106.52,138.92,117.5,110.2,6
Sticker | Zeus | Krakow 2017,EUR,4.14,,,,,0,,,,,0,2.85,2.99,2.92,2.92,2,1.52,2.99,2.16,1.9,9
R8 Revolver | Inlay (Minimal Wear),EUR,0.02,0.03,0.04,0.04,0.04,8,0.02,0.06,0.03,0.03,40,0.02,0.22,0.04,0.03,108,0.02,0.22,0.04,0.04,336
Sticker | BnTeT | Berlin 2019,EUR,0.26,,,,,0,,,,,0,,,,,0,0.16,0.28,0.22,0.22,2
★ Butterfly Knife | Marble Fade (Minimal Wear),EUR,,,,,,0,,,,,0,,,,,0,2118.32,2118.32,2118.32,2118.32,1
"Sticker | w0nderful (Gold, Champion) | Copenhagen 2024",EUR,3.99,,,,,0,1.62,2.29,1.96,1.96,2,1.62,3.4,2.25,2.06,6,1.62,4.51,2.31,1.9,17
StatTrak™ UMP-45 | Arctic Wolf (Field-Tested),EUR,0.64,0.53,0.53,0.53,0.53,2,0.53,0.9,0.61,0.55,9,0.52,0.9,0.66,0.58,22,0.45,1.07,0.63,0.59,105
★ Kukri Knife | Urban Masked (Field-Tested),EUR,130.9,125.04,155,142.31,144.59,4,121.4,155,137.63,138.18,8,100.5,155,126.67,128.84,42,96.87,165.36,135.54,134.28,116
XM1014 | Ancient Lore (Factory New),EUR,55.55,,,,,0,,,,,0,43.43,43.43,43.43,43.43,1,37.86,44,41.99,43.22,10
Sealed Graffiti | Space Soldiers | Boston 2018,EUR,14.33,,,,,0,,,,,0,2.66,2.66,2.66,2.66,1,1.92,14.39,4.36,3.88,9
SCAR-20 | Outbreak (Minimal Wear),EUR,0.19,,,,,0,0.18,0.28,0.21,0.18,4,0.18,0.37,0.25,0.22,16,0.18,1.35,0.3,0.28,62
Sticker | Team EnVyUs (Foil) | Boston 2018,EUR,30,,,,,0,25.99,25.99,25.99,25.99,1,25.99,25.99,25.99,25.99,1,17.46,25.99,21.42,20.8,3
★ Shadow Daggers | Damascus Steel (Field-Tested),EUR,101.03,100.55,100.55,100.55,100.55,1,100.55,100.55,100.55,100.55,1,87.65,117,102.6,100.75,9,87.65,125.99,104.64,101,26
★ Paracord Knife | Slaughter (Minimal Wear),EUR,239.23,237.76,241.9,239.83,239.83,2,209.24,256.62,235.18,239.63,10,200,285.24,239.3,239.36,36,200,350,254.34,253.79,138
Sticker | loWel | Krakow 2017,EUR,3.63,,,,,0,,,,,0,3.39,3.39,3.39,3.39,1,1.72,3.6,2.5,2.16,15
★ StatTrak™ Survival Knife | Boreal Forest (Battle-Scarred),EUR,,,,,,0,,,,,0,,,,,0,97.3,101.05,99.18,99.18,2
PP-Bizon | Space Cat (Factory New),EUR,1.24,1.01,1.31,1.13,1.08,3,0.88,14.99,2.8,1.41,43,0.65,14.99,1.87,1.42,149,0.65,14.99,1.71,1.4,450
Five-SeveN | Hyper Beast (Minimal Wear),EUR,39.61,,,,,0,37.17,37.17,37.17,37.17,1,36.32,55.99,44.58,43.94,20,31.24,66.13,44.58,44,63
P2000 | Marsh (Field-Tested),EUR,0.3,0.25,0.25,0.25,0.25,1,0.25,0.43,0.31,0.32,17,0.22,0.9,0.33,0.3,41,0.18,0.9,0.3,0.29,77
Tec-9 | Orange Murano (Well-Worn),EUR,5.93,,,,,0,,,,,0,5.03,5.03,5.03,5.03,1,4.11,6,5.07,5.03,5
Nova | Interlock (Field-Tested),EUR,,,,,,0,,,,,0,11.86,11.86,11.86,11.86,1,8.1,11.86,9.65,9,3
★ StatTrak™ M9 Bayonet | Boreal Forest (Minimal Wear),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | smooya (Foil) | Katowice 2019,EUR,4.99,,,,,0,,,,,0,3.98,3.98,3.98,3.98,1,3.98,4.99,4.49,4.48,2
★ StatTrak™ Gut Knife | Black Laminate (Minimal Wear),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
★ Stiletto Knife | Boreal Forest (Factory New),EUR,413.46,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | ECSTATIC | Copenhagen 2024,EUR,0.02,,,,,0,0.02,0.1,0.02,0.02,162,0.02,0.1,0.02,0.02,233,0.02,0.1,0.02,0.02,645
Sticker | t0rick | Berlin 2019,EUR,0.33,,,,,0,,,,,0,,,,,0,0.07,0.1,0.08,0.08,3
