market_hash_name,currency,current_min_price,min_24h,max_24h,avg_24h,median_24h,volume_24h,min_7d,max_7d,avg_7d,median_7d,volume_7d,min_30d,max_30d,avg_30d,median_30d,volume_30d,min_90d,max_90d,avg_90d,median_90d,volume_90d
Sticker | s1mple (Holo) | Antwerp 2022,EUR,16.87,,,,,0,15.14,16.82,15.35,15.14,13,11.57,16.82,14.91,15.14,28,10.56,16.82,14.15,14.15,45
G3SG1 | Green Cell (Minimal Wear),EUR,0.25,0.05,0.05,0.05,0.05,1,0.03,0.05,0.04,0.04,11,0.03,0.07,0.05,0.05,33,0.03,0.14,0.05,0.05,54
M4A1-S | Nightmare (Well-Worn),EUR,8.4,,,,,0,6.44,8.77,8.15,8.31,15,5.02,8.93,7.57,7.69,99,5.02,10.99,8.15,8.14,335
Lt. Commander Ricksaw | NSWC SEAL,EUR,12.92,10.39,14.07,13.37,13.65,29,10,14.95,13.58,14.07,189,7.13,23.5,13.31,13.85,829,6.97,130.44,13.16,13.04,2509
SG 553 | Night Camo (Well-Worn),EUR,0.57,0.03,0.03,0.03,0.03,1,0.03,0.04,0.04,0.04,2,0.03,0.04,0.03,0.03,5,0.03,0.11,0.04,0.03,7
StatTrak™ Glock-18 | Water Elemental (Field-Tested),EUR,17.12,15.72,18.28,17,17,2,15,20.35,17.6,18.09,17,15,21.5,17.54,17.62,76,10.71,54.9,18.36,18.28,296
Five-SeveN | Fairy Tale (Well-Worn),EUR,23.13,,,,,0,20.12,21.41,20.77,20.76,2,19.66,21.41,20.31,20.09,4,16.58,23.67,20.85,22.08,27
Sticker | electroNic (Holo) | Stockholm 2021,EUR,0.19,0.13,0.13,0.13,0.13,1,0.13,0.39,0.23,0.2,4,0.11,0.39,0.19,0.13,33,0.1,0.39,0.17,0.12,141
MP7 | Army Recon (Well-Worn),EUR,0.02,,,,,0,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,9,0.02,0.03,0.02,0.02,37
Sticker | apEX (Foil) | Cluj-Napoca 2015,EUR,28.89,,,,,0,,,,,0,,,,,0,25.14,25.14,25.14,25.14,1
Souvenir G3SG1 | Safari Mesh (Factory New),EUR,24.13,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | LUCAS1 | Berlin 2019,EUR,0.18,,,,,0,,,,,0,0.1,0.11,0.11,0.1,2,0.1,0.14,0.11,0.1,8
AWP | Acheron (Minimal Wear),EUR,0.79,0.73,1.03,0.92,0.99,3,0.64,1.68,0.94,0.96,42,0.6,1.68,0.9,0.95,189,0.6,6.1,1.08,1,578
"StatTrak™ Music Kit | Ki:Theory, MOLOTOV",EUR,5.9,,,,,0,,,,,0,3.89,4.14,4.02,4.02,2,3.5,9.4,4.76,4.22,12
Sticker | AZR | Berlin 2019,EUR,0.28,0.08,0.08,0.08,0.08,1,0.06,0.1,0.09,0.09,4,0.06,0.1,0.08,0.08,5,0.04,0.1,0.06,0.04,14
Desert Eagle | Tilted (Minimal Wear),EUR,0.53,0.51,2.27,0.72,0.65,16,0.45,2.27,0.63,0.64,145,0.3,3,0.51,0.46,903,0.2,7.12,0.65,0.48,2835
Sticker | fer (Foil) | Boston 2018,EUR,25,,,,,0,,,,,0,,,,,0,11.86,11.86,11.86,11.86,1
M4A1-S | Flashback (Field-Tested),EUR,0.37,0.37,0.4,0.39,0.38,2,0.36,2.56,0.59,0.49,17,0.35,2.56,0.48,0.42,72,0.3,9.07,0.56,0.47,226
Souvenir AK-47 | Panthera onca (Factory New),EUR,1080.78,,,,,0,,,,,0,750,750,750,750,1,750,750,750,750,1
Sticker | Team Spirit (Foil) | Stockholm 2021,EUR,2.7,,,,,0,2.19,2.58,2.42,2.5,3,2.19,2.58,2.43,2.46,6,1.8,3.14,2.39,2.38,14
★ StatTrak™ Ursus Knife | Ultraviolet (Factory New),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | FaZe Clan | Atlanta 2017,EUR,8,,,,,0,,,,,0,6.15,7,6.54,6.5,5,4.72,7.03,6.24,6.41,27
Souvenir XM1014 | Blue Spruce (Field-Tested),EUR,15,,,,,0,14.96,14.96,14.96,14.96,1,14.96,14.96,14.96,14.96,1,7.69,14.96,11.11,10.9,4
Sticker | HEROIC (Glitter) | Shanghai 2024,EUR,0.06,0.02,0.02,0.02,0.02,1,0.02,0.05,0.03,0.03,20,0.02,0.05,0.03,0.03,70,0.02,0.13,0.03,0.02,340
Sticker | Krimbo (Holo) | Rio 2022,EUR,1.42,,,,,0,,,,,0,,,,,0,,,,,0
MP9 | Army Sheen (Field-Tested),EUR,0.69,0.57,0.57,0.57,0.57,1,0.57,0.67,0.62,0.62,2,0.55,0.67,0.63,0.65,25,0.55,0.75,0.63,0.64,48
Sticker | Snax (Foil) | Cologne 2016,EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | nitr0 (Gold) | Boston 2018,EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | donk (Glitter) | Shanghai 2024,EUR,1.35,,,,,0,0.62,1.79,1.01,0.79,18,0.52,1.79,0.94,0.79,54,0.5,1.79,0.93,0.88,220
UMP-45 | Labyrinth (Minimal Wear),EUR,0.14,,,,,0,0.12,0.18,0.15,0.14,9,0.09,0.19,0.15,0.14,34,0.09,0.25,0.15,0.15,108
★ M9 Bayonet | Boreal Forest (Field-Tested),EUR,516.71,516.71,522.46,519.59,519.58,2,516.71,579.43,534.19,520.3,4,461.06,579.43,519.19,518.15,7,456.28,579.43,516.13,522.46,17
Sticker | Nifty (Foil) | London 2018,EUR,4.07,,,,,0,,,,,0,,,,,0,6.08,6.08,6.08,6.08,1
Sawed-Off | Yorick (Field-Tested),EUR,0.08,,,,,0,0.08,0.08,0.08,0.08,2,0.08,0.12,0.09,0.09,12,0.08,1,0.14,0.1,103
Sticker | maden (Glitter) | Paris 2023,EUR,0.09,,,,,0,,,,,0,0.02,0.03,0.03,0.03,35,0.02,0.03,0.03,0.03,43
AUG | Radiation Hazard (Well-Worn),EUR,2.64,,,,,0,,,,,0,,,,,0,1.65,3.49,3,3.37,6
P90 | Trigon (Field-Tested),EUR,7.45,,,,,0,6.4,7.87,7.35,7.52,14,6,8.93,7.17,6.96,28,6,13.1,8.1,7.87,123
P250 | See Ya Later (Well-Worn),EUR,3.5,3.05,3.05,3.05,3.05,1,3.05,3.05,3.05,3.05,1,2.8,3.99,3.26,3.12,4,2.8,4.95,3.71,3.55,17
Sticker | friberg | Cologne 2015,EUR,2.24,,,,,0,2.11,2.11,2.11,2.11,1,1.66,2.11,1.83,1.72,3,1.66,3.03,2.56,2.77,12
★ Gut Knife | Slaughter (Minimal Wear),EUR,180,165.93,165.93,165.93,165.93,1,157.09,180,169.82,171.08,5,143.62,196.65,170.07,169.54,14,143.62,209.51,175.33,174.8,56
Sticker | Ninjas in Pyjamas (Gold) | Antwerp 2022,EUR,1.97,,,,,0,,,,,0,1.22,1.89,1.56,1.56,2,1.05,1.99,1.76,1.9,10
UMP-45 | Gold Bismuth (Factory New),EUR,10,,,,,0,6.45,9.49,7.76,6.87,5,5.37,9.88,7.46,6.82,8,5,9.88,6.79,6.8,26
MAG-7 | Navy Sheen (Factory New),EUR,0.52,0.4,0.99,0.7,0.7,2,0.4,0.99,0.64,0.58,4,0.02,1.54,0.57,0.45,17,0.02,1.69,0.59,0.55,85
Sticker | zont1x (Holo) | Shanghai 2024,EUR,0.46,,,,,0,,,,,0,0.13,0.59,0.33,0.15,7,0.1,0.99,0.29,0.16,32
P250 | Drought (Well-Worn),EUR,1.99,0.69,0.82,0.77,0.82,5,0.4,0.82,0.71,0.76,6,0.37,0.82,0.57,0.46,12,0.37,0.82,0.51,0.43,19
Negev | Man-o'-war (Minimal Wear),EUR,0.13,0.13,0.13,0.13,0.13,2,0.12,6.16,0.41,0.17,30,0.12,6.16,0.26,0.14,150,0.11,6.16,0.23,0.14,364
Sticker | innocent (Gold) | Krakow 2017,EUR,499,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | phzy (Gold) | Shanghai 2024,EUR,2.49,,,,,0,,,,,0,2,2,2,2,1,1.13,2.99,1.78,1.47,5
StatTrak™ Five-SeveN | Nightshade (Field-Tested),EUR,5.2,,,,,0,,,,,0,4.17,5.1,4.64,4.64,3,4.17,56.77,11.26,4.94,12
Sticker | Free Range,EUR,0.02,0.02,0.02,0.02,0.02,1,0.02,0.03,0.03,0.02,2,0.02,0.21,0.05,0.02,8,0.02,0.21,0.02,0.02,65
USP-S | Blood Tiger (Minimal Wear),EUR,4.15,3.8,3.8,3.8,3.8,1,3.41,45,14.09,3.98,4,2.66,45,6.26,3.62,17,2.23,45,4.42,3.41,71
AWP | Black Nile (Field-Tested),EUR,1.64,1.16,2.16,1.74,1.88,10,1.16,4.46,1.94,1.87,84,1,4.46,1.84,1.72,359,1,12.41,2.27,2.13,1029
AK-47 | Midnight Laminate (Battle-Scarred),EUR,11.42,,,,,0,11.28,15.47,13.24,12.4,5,10.52,99.35,19.89,12.35,12,5.14,99.35,16.78,12.3,19
Sticker | steel | Cologne 2015,EUR,56.55,,,,,0,,,,,0,9.87,9.87,9.87,9.87,1,4.96,9.87,7.42,7.42,2
Nova | Moon in Libra (Well-Worn),EUR,,,,,,0,,,,,0,,,,,0,3.31,4.44,3.94,4.01,4
StatTrak™ M4A4 | Zirka (Field-Tested),EUR,36.26,,,,,0,,,,,0,,,,,0,32.56,36.6,35.22,36.51,3
Sealed Graffiti | Worry (Shark White),EUR,0.02,,,,,0,,,,,0,0.04,0.04,0.04,0.04,1,0.02,0.04,0.03,0.02,3
Sticker | kauez (Holo) | Copenhagen 2024,EUR,0.59,,,,,0,,,,,0,0.19,0.19,0.19,0.19,1,0.18,0.19,0.19,0.18,2
★ Talon Knife | Urban Masked (Well-Worn),EUR,,,,,,0,,,,,0,,,,,0,254.96,332.32,282.08,272,5
Sticker | Starry (Holo) | Copenhagen 2024,EUR,1.58,,,,,0,1.4,1.4,1.4,1.4,1,1.4,1.4,1.4,1.4,1,1.11,1.68,1.29,1.2,6
★ M9 Bayonet | Rust Coat (Well-Worn),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
XM1014 | Gum Wall Camo (Battle-Scarred),EUR,,,,,,0,0.24,0.24,0.24,0.24,1,0.16,0.24,0.2,0.19,3,0.11,0.24,0.18,0.18,4
StatTrak™ AK-47 | Wasteland Rebel (Battle-Scarred),EUR,,,,,,0,75.21,75.21,75.21,75.21,1,75.21,75.21,75.21,75.21,1,75.21,75.21,75.21,75.21,1
Souvenir Nova | Predator (Field-Tested),EUR,0.12,,,,,0,0.13,0.13,0.13,0.13,1,0.13,0.19,0.15,0.14,4,0.13,3.64,0.43,0.27,23
Sticker | Hello P90 (Gold),EUR,4.4,,,,,0,3.39,3.39,3.39,3.39,1,2.89,5.97,4.08,3.39,3,2.33,5.97,3.86,4,16
Sticker | fnx (Foil) | Cologne 2016,EUR,15,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Twistzz (Champion) | Antwerp 2022,EUR,0.02,,,,,0,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,9,0.02,0.02,0.02,0.02,15
Sealed Graffiti | Tombstone (SWAT Blue),EUR,0.02,,,,,0,,,,,0,0.02,0.03,0.03,0.03,6,0.02,0.03,0.03,0.03,6
M4A4 | Cyber Security (Battle-Scarred),EUR,24.17,,,,,0,18.57,22.31,20.3,20.15,7,18.31,22.31,20.05,20.07,8,16.52,26.9,19.29,19.25,24
StatTrak™ SSG 08 | Dezastre (Battle-Scarred),EUR,0.11,0.11,0.11,0.11,0.11,1,0.1,0.12,0.11,0.12,7,0.09,0.34,0.13,0.11,36,0.09,12,0.31,0.13,79
★ Nomad Knife | Scorched (Field-Tested),EUR,151.56,135.3,135.3,135.3,135.3,1,135.3,185.63,160.47,160.46,2,133.49,185.63,158.25,156,11,120.86,185.63,157.78,157.92,30
"StatTrak™ Music Kit | TWERL and Ekko & Sidetrack, Under Bright Lights",EUR,13.87,10.37,13.89,13.22,13.69,9,10.37,13.89,13.36,13.61,59,10.37,14.99,13.75,13.69,204,8.42,35,15.35,14.14,469
Sticker | Miami Stabbyfish,EUR,1.1,,,,,0,0.48,0.48,0.48,0.48,1,0.48,1.22,0.64,0.5,5,0.41,1.22,0.56,0.5,28
★ M9 Bayonet | Scorched (Battle-Scarred),EUR,,,,,,0,,,,,0,536.75,536.75,536.75,536.75,1,527.5,570.19,544.81,536.75,3
StatTrak™ Galil AR | Blue Titanium (Factory New),EUR,8.1,,,,,0,6.85,140,17.97,8.69,17,6.85,140,12.7,8.68,58,6.85,140,13.91,9.4,147
Sealed Graffiti | Sorry (Battle Green),EUR,0.02,,,,,0,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,10
Souvenir SCAR-20 | Sand Mesh (Battle-Scarred),EUR,0.94,0.78,0.78,0.78,0.78,1,0.78,0.78,0.78,0.78,1,0.78,0.78,0.78,0.78,1,0.7,1.5,1.05,1,4
Souvenir Tec-9 | VariCamo (Minimal Wear),EUR,3.2,,,,,0,,,,,0,2.81,2.81,2.81,2.81,1,1.1,6.9,3.48,2.81,5
★ Classic Knife | Blue Steel (Battle-Scarred),EUR,,,,,,0,180,180,180,180,1,180,197.05,185.68,180,3,170,197.05,180.22,180,7
PP-Bizon | Facility Sketch (Battle-Scarred),EUR,0.02,,,,,0,,,,,0,,,,,0,0.02,0.1,0.05,0.04,4
StatTrak™ FAMAS | ZX Spectron (Minimal Wear),EUR,7.34,,,,,0,6.83,8.59,8.19,8.52,5,6.5,8.98,8.05,8.54,27,4.8,12.86,8.85,8.69,85
★ Survival Knife | Case Hardened (Battle-Scarred),EUR,147.51,,,,,0,,,,,0,,,,,0,,,,,0
Sealed Graffiti | 1G (Monster Purple),EUR,4.25,,,,,0,,,,,0,0.09,0.1,0.1,0.1,2,0.07,0.12,0.09,0.09,7
Sticker | Hippocamp,EUR,0.13,,,,,0,0.09,0.72,0.25,0.1,4,0.09,0.72,0.14,0.11,20,0.09,0.72,0.14,0.11,34
MP9 | Nexus (Well-Worn),EUR,0.04,0.04,0.04,0.04,0.04,10,0.03,0.05,0.04,0.04,207,0.02,0.07,0.04,0.04,428,0.02,0.17,0.04,0.04,545
Sticker | kyxsan (Holo) | Paris 2023,EUR,0.36,,,,,0,,,,,0,0.28,0.5,0.36,0.35,7,0.1,0.5,0.28,0.35,13
Sticker | rigoN (Gold) | Antwerp 2022,EUR,18.22,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Natus Vincere (Holo) | Antwerp 2022,EUR,2.65,3.57,3.83,3.74,3.83,3,2.04,3.83,2.83,2.62,13,1.99,3.83,2.69,2.53,63,1.67,3.83,2.53,2.53,184
Sealed Graffiti | Chess King (Tracer Yellow),EUR,0.02,,,,,0,,,,,0,0.02,0.02,0.02,0.02,50,0.02,0.02,0.02,0.02,54
Souvenir P250 | Black & Tan (Minimal Wear),EUR,0.09,,,,,0,0.11,0.11,0.11,0.11,1,0.09,0.16,0.11,0.1,14,0.09,0.42,0.13,0.13,39
★ Flip Knife | Crimson Web (Field-Tested),EUR,292.51,,,,,0,231.43,289.82,259.18,257.74,4,231.43,345.23,279.72,271.76,18,231.43,366.21,293.65,288.9,36
Sealed Graffiti | Oops (Desert Amber),EUR,1.9,,,,,0,,,,,0,0.12,0.12,0.12,0.12,1,0.1,0.17,0.13,0.12,8
★ StatTrak™ Paracord Knife | Damascus Steel (Well-Worn),EUR,196.79,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | arT | Berlin 2019,EUR,1.99,,,,,0,,,,,0,0.52,0.52,0.52,0.52,1,0.52,0.53,0.53,0.53,6
Sealed Graffiti | Okay (Jungle Green),EUR,3.6,,,,,0,,,,,0,0.12,0.12,0.12,0.12,1,0.12,0.13,0.13,0.13,3
Sticker | London Conspiracy | Cologne 2014,EUR,23.67,,,,,0,20.23,20.23,20.23,20.23,1,15.75,34,26.01,30.57,7,15.64,36.34,25.87,25,17
Sticker | Rare Atom | Shanghai 2024,EUR,0.06,0.04,0.06,0.04,0.04,23,0.02,0.06,0.04,0.03,52,0.02,0.06,0.04,0.04,216,0.02,0.25,0.05,0.04,989
USP-S | Neo-Noir (Well-Worn),EUR,15,,,,,0,,,,,0,13.48,19.99,16.1,14.64,5,12.03,19.99,15.22,14.71,14
Shadow Case,EUR,1.33,1.28,2.13,1.37,1.36,62,0.96,2.18,1.34,1.34,834,0.96,2.28,1.36,1.37,4017,0.96,2.28,1.32,1.31,22680
AUG | Carved Jade (Field-Tested),EUR,11.89,,,,,0,,,,,0,12.78,13.29,13.04,13.04,2,12.78,13.29,13.04,13.04,2
★ Paracord Knife | Scorched (Battle-Scarred),EUR,,,,,,0,,,,,0,,,,,0,82.18,113.01,97.1,96.1,3
M249 | Predator (Battle-Scarred),EUR,1.35,,,,,0,0.47,0.47,0.47,0.47,1,0.47,0.47,0.47,0.47,1,0.38,0.47,0.43,0.42,2
Dual Berettas | Polished Malachite (Field-Tested),EUR,0.29,,,,,0,0.24,1.99,0.49,0.26,10,0.23,2.75,0.62,0.31,54,0.19,2.99,0.7,0.31,91
MAG-7 | Wildwood (Well-Worn),EUR,0.22,0.1,0.1,0.1,0.1,1,0.09,0.11,0.1,0.1,4,0.06,0.22,0.11,0.09,22,0.05,0.22,0.1,0.08,72
Sealed Graffiti | Jump Shot (Jungle Green),EUR,0.02,,,,,0,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,6,0.02,0.02,0.02,0.02,23
Sticker | WOOD7 (Gold) | Paris 2023,EUR,1.79,,,,,0,,,,,0,1.89,1.89,1.89,1.89,1,1.89,1.89,1.89,1.89,1
Sealed Graffiti | Fnatic | Boston 2018,EUR,2.25,,,,,0,1.31,1.31,1.31,1.31,1,1.31,2.26,1.7,1.6,4,1.31,2.32,1.76,1.62,6
Sticker | chrisJ (Gold) | Krakow 2017,EUR,226.88,,,,,0,,,,,0,,,,,0,,,,,0
★ Butterfly Knife | Bright Water (Battle-Scarred),EUR,1200.98,,,,,0,,,,,0,,,,,0,869.45,869.45,869.45,869.45,1
★ StatTrak™ Survival Knife,EUR,165.55,,,,,0,,,,,0,120.54,199.78,142.23,137,8,120.54,199.78,149.18,144.97,17
★ StatTrak™ Talon Knife | Forest DDPAT (Field-Tested),EUR,320,,,,,0,320.31,347.53,333.92,333.92,2,305.01,347.53,324.28,320.31,3,284.99,347.53,312.6,305.01,7
Sticker | bLitz (Holo) | Copenhagen 2024,EUR,1.1,,,,,0,,,,,0,0.99,0.99,0.99,0.99,1,0.16,0.99,0.38,0.18,4
Sticker | Hiko (Foil) | Cluj-Napoca 2015,EUR,25.56,,,,,0,,,,,0,16.92,16.92,16.92,16.92,1,16.92,16.92,16.92,16.92,1
Sticker | yam | Cologne 2015,EUR,8.62,,,,,0,,,,,0,,,,,0,4.97,6.52,5.49,4.97,3
"Music Kit | Tim Huling, Devil's Paintbrush",EUR,1.3,,,,,0,0.81,0.81,0.81,0.81,1,0.81,2.46,1.31,0.92,8,0.81,2.46,1.56,1.26,14
StatTrak™ Five-SeveN | Kami (Factory New),EUR,4.31,4.09,4.09,4.09,4.09,1,3.33,103,12,4.44,15,3.28,103,7.57,4.76,58,2.9,103,6.17,4.5,171
Sticker | Sico (Glitter) | Rio 2022,EUR,0.25,,,,,0,,,,,0,,,,,0,0.05,0.05,0.05,0.05,1
★ Falchion Knife | Night (Field-Tested),EUR,151,142,142,142,142,1,122.82,142,135.25,139.93,5,112.79,142,129.58,130.85,15,105.43,157.71,129.65,130.6,36
Sticker | gxx- (Glitter) | Rio 2022,EUR,0.55,,,,,0,,,,,0,,,,,0,0.08,0.55,0.24,0.1,3
StatTrak™ P250 | Contaminant (Field-Tested),EUR,0.91,,,,,0,1.55,1.55,1.55,1.55,1,0.69,1.55,0.86,0.76,11,0.5,1.55,0.74,0.71,29
Sticker | seized | Atlanta 2017,EUR,4.49,,,,,0,,,,,0,,,,,0,,,,,0
StatTrak™ Glock-18 | Moonrise (Field-Tested),EUR,1.19,1,1.42,1.28,1.36,5,1,3.6,1.35,1.14,26,0.9,3.6,1.3,1.25,125,0.9,11.83,1.67,1.38,502
Dual Berettas | Elite 1.6 (Battle-Scarred),EUR,0.17,0.16,0.16,0.16,0.16,1,0.15,0.16,0.15,0.15,10,0.08,0.16,0.14,0.15,18,0.08,0.16,0.12,0.12,58
Sticker | fame (Gold) | Copenhagen 2024,EUR,2.39,,,,,0,,,,,0,,,,,0,2.49,2.49,2.49,2.49,1
Sealed Graffiti | Recoil AWP (Blood Red),EUR,12.99,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | mou (Gold) | Krakow 2017,EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Dual Berettas | Emerald (Factory New),EUR,29.7,28.99,28.99,28.99,28.99,1,28,45,32.23,30.2,11,25.55,56.9,31.01,30,44,23.03,56.9,30.13,30,122
Sticker | WorldEdit (Foil) | Katowice 2019,EUR,16.99,,,,,0,9.52,9.52,9.52,9.52,1,9.52,9.52,9.52,9.52,1,9.52,9.52,9.52,9.52,1
StatTrak™ P90 | Elite Build (Battle-Scarred),EUR,0.24,,,,,0,0.24,0.26,0.25,0.25,2,0.21,0.35,0.28,0.28,8,0.21,0.38,0.3,0.3,12
StatTrak™ P2000 | Urban Hazard (Battle-Scarred),EUR,0.08,,,,,0,0.09,0.1,0.1,0.1,2,0.08,0.99,0.2,0.09,8,0.07,0.99,0.14,0.09,22
StatTrak™ SG 553 | Aloha (Field-Tested),EUR,0.09,,,,,0,0.09,0.17,0.11,0.1,4,0.09,0.17,0.11,0.1,20,0.09,4.9,0.2,0.11,86
Sticker | IEM | Rio 2022,EUR,0.02,0.02,0.02,0.02,0.02,2,0.02,0.02,0.02,0.02,6,0.02,0.03,0.02,0.02,408,0.02,0.03,0.02,0.02,663
StatTrak™ Five-SeveN | Fowl Play (Field-Tested),EUR,6.16,,,,,0,4.87,4.9,4.89,4.88,2,4.34,12,5.73,5.35,15,4.31,12,5.84,5.56,29
★ Navaja Knife | Damascus Steel (Field-Tested),EUR,95.93,,,,,0,95.5,102.22,98.86,98.86,2,65.3,102.22,88.35,91.43,10,65.3,121.09,97.98,97.88,46
Sticker | PGL (Holo) | Antwerp 2022,EUR,1.48,1.52,1.52,1.52,1.52,2,1.51,1.79,1.59,1.52,4,0.9,2.52,1.94,2.2,49,0.68,2.52,1.63,1.78,194
Sticker | Snax | Boston 2018,EUR,4.4,,,,,0,,,,,0,,,,,0,2.67,5.99,4.33,4.33,2
AUG | Triqua (Factory New),EUR,0.36,,,,,0,0.31,0.52,0.38,0.35,6,0.31,0.95,0.43,0.34,14,0.28,0.99,0.44,0.37,55
MAG-7 | Counter Terrace (Factory New),EUR,319.9,,,,,0,156.52,156.52,156.52,156.52,1,142.99,156.52,149.76,149.76,2,142.99,156.52,148.97,148.1,5
StatTrak™ Tec-9 | Bamboozle (Field-Tested),EUR,0.85,,,,,0,0.8,1.54,1.12,1.14,14,0.72,4.92,1.19,1.02,52,0.64,4.92,1.19,1.1,170
Souvenir PP-Bizon | Sand Dashed (Battle-Scarred),EUR,,,,,,0,,,,,0,,,,,0,,,,,0
Sealed Graffiti | Speechless (Cash Green),EUR,0.02,,,,,0,,,,,0,,,,,0,0.02,0.02,0.02,0.02,24
StatTrak™ UMP-45 | Primal Saber (Field-Tested),EUR,4.01,,,,,0,3.3,5.2,4.23,4.22,6,3.3,5.31,4.36,4.5,16,3.3,9.5,5.93,6.06,66
StatTrak™ AWP | Neo-Noir (Factory New),EUR,82.81,71.3,79.2,76.23,78.19,3,67.92,83.74,76.4,78.24,10,64.12,85.83,76.13,78.24,36,64.12,227.84,83.76,82.23,148
MAG-7 | Copper Oxide (Minimal Wear),EUR,0.07,0.05,0.05,0.05,0.05,2,0.04,0.06,0.05,0.05,6,0.04,1.93,0.09,0.05,42,0.03,1.93,0.09,0.05,75
CZ75-Auto | Tigris (Battle-Scarred),EUR,0.51,,,,,0,0.47,0.61,0.54,0.54,7,0.37,0.61,0.49,0.47,20,0.37,3.9,0.56,0.5,55
Sticker | Lucky | Katowice 2019,EUR,1.69,,,,,0,,,,,0,1.68,1.68,1.68,1.68,1,0.6,1.68,1.14,1.14,2
Sticker | Magic Rush Ball (Lenticular),EUR,15.99,12.2,16.72,15.21,16.72,3,9.61,16.72,15.33,16.29,11,9.61,16.72,15.07,15.52,24,9.61,16.99,14.65,15.25,59
Sticker | G2 Esports (Foil) | Katowice 2019,EUR,10,,,,,0,,,,,0,,,,,0,10.35,14.3,12.89,14,5
Sticker | Lucky | Berlin 2019,EUR,0.33,,,,,0,,,,,0,0.3,0.3,0.3,0.3,1,0.28,1.47,0.7,0.34,9
Sticker | siuhy (Gold) | Copenhagen 2024,EUR,2.79,,,,,0,,,,,0,,,,,0,,,,,0
Sticker | Cloud9 (Foil) | MLG Columbus 2016,EUR,52.99,,,,,0,,,,,0,,,,,0,29.34,52.99,47.24,52.9,5
Souvenir SSG 08 | Detour (Minimal Wear),EUR,7.99,,,,,0,8.99,39.99,15.99,9.49,5,3,39.99,8.43,7.14,36,3,39.99,7.36,6.97,93
Negev | Terrain (Factory New),EUR,0.75,0.74,0.84,0.79,0.79,2,0.49,0.94,0.77,0.78,7,0.49,1.05,0.79,0.8,64,0.49,8.99,0.79,0.7,198
P2000 | Lifted Spirits (Well-Worn),EUR,0.03,0.02,0.02,0.02,0.02,2,0.02,0.04,0.03,0.04,24,0.02,0.1,0.04,0.04,143,0.02,0.1,0.04,0.04,353
Sticker | Perfecto (Holo) | Shanghai 2024,EUR,0.68,,,,,0,,,,,0,0.23,0.89,0.73,0.84,6,0.19,0.89,0.45,0.23,13
P90 | Straight Dimes (Field-Tested),EUR,0.06,0.06,0.06,0.06,0.06,1,0.05,0.08,0.06,0.06,20,0.04,0.09,0.06,0.05,120,0.04,0.09,0.06,0.06,224
Sticker | Tuurtle | Antwerp 2022,EUR,0.02,,,,,0,,,,,0,0.02,0.02,0.02,0.02,1,0.02,0.02,0.02,0.02,2
Sticker | Hobbit (Holo) | Rio 2022,EUR,7.43,,,,,0,,,,,0,2.3,2.3,2.3,2.3,1,2.3,2.3,2.3,2.3,1
StatTrak™ Glock-18 | Moonrise (Factory New),EUR,5.33,4.42,7.44,5.81,5.73,7,4.42,18,6.05,5.79,35,4.2,23.5,6.26,5.79,143,4.2,33.9,7.1,6.22,424
Sealed Graffiti | Sheriff (Bazooka Pink),EUR,0.02,,,,,0,,,,,0,,,,,0,0.02,0.02,0.02,0.02,1
Sticker | felps (Gold) | Katowice 2019,EUR,,,,,,0,,,,,0,,,,,0,,,,,0
★ Survival Knife | Forest DDPAT (Battle-Scarred),EUR,118.79,,,,,0,,,,,0,105,105,105,105,1,93.85,130.99,110.92,110,9
Sealed Graffiti | Dizzy (Bazooka Pink),EUR,0.4,,,,,0,,,,,0,0.19,0.19,0.19,0.19,2,0.18,0.45,0.26,0.19,7
Sticker | gxx- | Antwerp 2022,EUR,0.02,,,,,0,0.02,0.02,0.02,0.02,4,0.02,0.02,0.02,0.02,4,0.02,0.02,0.02,0.02,6
Souvenir G3SG1 | Desert Storm (Field-Tested),EUR,0.47,,,,,0,,,,,0,0.06,0.06,0.06,0.06,1,0.06,1,0.34,0.22,14
Sticker | Quick Peek,EUR,0.14,0.09,0.22,0.15,0.12,9,0.09,0.27,0.14,0.11,33,0.09,0.8,0.21,0.15,143,0.07,0.8,0.2,0.14,463
Sticker | fer (Holo) | Antwerp 2022,EUR,1.43,,,,,0,,,,,0,1.39,1.39,1.39,1.39,1,1.3,1.43,1.39,1.39,10
